Ticker,Mean,Sigma,Upper,Lower,LastPrice,BuyZone,SellZone,UnderControl,Slope_5d,Trend_Robust,Actionability
CHRW,184.6489990234375,5.55591007996885,190.20490910340635,179.09308894346867,179.3300018310547,False,False,True,-1.398001098632835,DOWN,Neutral
CI,285.73499450683596,6.492112338180377,292.22710684501635,279.24288216865557,282.7900085449219,False,False,True,0.021005249023408303,FLAT,Neutral
CMCSA,23.086999893188477,0.7248608163580955,23.811860709546572,22.36213907683038,23.170000076293945,False,False,True,0.1590002059936501,FLAT,Neutral
CMI,700.6210021972656,21.734718430065655,722.3557206273313,678.8862837672,685.8699951171875,False,False,True,-4.957995605468797,FLAT,Neutral
COF,199.02599639892577,5.789255153489821,204.8152515524156,193.23674124543595,204.0,False,False,True,1.3690002441406248,FLAT,Neutral
COST,963.0419982910156,15.106742195333121,978.1487404863487,947.9352560956825,952.5399780273438,False,False,True,-1.3059997558594962,FLAT,Neutral
CPRT,30.161999702453613,0.48492364435768365,30.646923346811295,29.67707605809593,30.549999237060547,False,False,True,0.2589998245239254,UP,Neutral
CRM,156.38099975585936,5.887250457330466,162.26825021318982,150.4937492985289,158.3699951171875,False,False,True,1.3270004272460763,FLAT,Neutral
CSGP,30.560999870300293,1.3254389530481605,31.886438823348453,29.235560917252133,30.25,False,False,True,0.04400005340575974,FLAT,Neutral
CTAS,171.83899993896483,3.0001591769835843,174.8391591159484,168.83884076198126,171.89999389648438,False,False,True,0.5189987182617117,FLAT,Neutral
CTSH,44.99599990844727,5.12308916037654,50.119089068823804,39.87291074807073,40.029998779296875,False,False,True,-0.5400005340576164,FLAT,Neutral
DD,103.33400192260743,47.51029330201798,150.8442952246254,55.82370862058945,137.22000122070312,False,False,True,-1.6910003662109505,FLAT,Neutral
DLR,190.25599822998046,4.301836090903496,194.55783432088396,185.95416213907697,193.0,False,False,True,-0.7639984130859553,FLAT,Neutral
DOV,223.9029983520508,4.015633978171185,227.91863233022198,219.8873643738796,225.9600067138672,False,False,True,0.031002807617161753,FLAT,Neutral
DPZ,303.51299743652345,15.244326959070643,318.7573243955941,288.2686704774528,298.17999267578125,False,False,True,0.8550018310546782,FLAT,Neutral
DVN,43.00999984741211,0.8306093569733839,43.840609204385494,42.17939049043873,42.209999084472656,False,False,True,-0.24700012207031666,DOWN,Neutral
DXCM,71.29800109863281,2.388225955840252,73.68622705447306,68.90977514279255,70.13999938964844,False,False,True,0.1870002746581992,FLAT,Neutral
EBAY,108.24700012207032,1.3076861255930705,109.55468624766338,106.93931399647725,107.87000274658203,False,False,True,0.48899993896484445,UP,Neutral
EFX,157.87799987792968,5.584585193707974,163.46258507163765,152.29341468422172,158.47999572753906,False,False,True,0.9379974365234262,FLAT,Neutral
ELV,393.9950012207031,6.356948134823723,400.3519493555268,387.6380530858794,395.17999267578125,False,False,True,-0.7060028076172157,FLAT,Neutral
EMN,72.07100067138671,1.8491282828672821,73.920128954254,70.22187238851943,70.70999908447266,False,False,True,-0.13700027465821454,FLAT,Neutral
EMR,146.16800231933593,3.3436133009300297,149.51161562026596,142.8243890184059,143.49000549316406,False,False,True,-1.1240005493164305,DOWN,Neutral
ENPH,49.954999923706055,2.7675028393312564,52.72250276303731,47.1874970843748,47.58000183105469,False,False,True,-0.9669998168945326,DOWN,Neutral
EOG,133.22799835205078,1.831147479107271,135.05914583115805,131.3968508729435,132.60000610351562,False,False,True,-0.1769989013672076,FLAT,Neutral
EPAM,83.51399993896484,7.877213137049706,91.39121307601455,75.63678680191514,80.68000030517578,False,False,True,0.9760002136230415,FLAT,Neutral
EQIX,1090.1400024414063,18.94128923608355,1109.0812916774898,1071.1987132053227,1091.300048828125,False,False,True,-7.759985351562602,DOWN,Neutral
ETN,410.5769989013672,12.304951401042286,422.88195030240945,398.2720475003249,402.67999267578125,False,False,True,-5.161001586914077,DOWN,Neutral
EXPD,162.28499908447264,1.9828541318616197,164.26785321633426,160.30214495261103,160.72999572753906,False,False,True,-0.45099945068361236,FLAT,Neutral
F,14.223000049591064,0.34013240757957813,14.563132457170642,13.882867642011487,14.130000114440918,False,False,True,0.015000057220458714,FLAT,Neutral
FDS,225.7969985961914,10.658559226892597,236.455557823084,215.1384393692988,231.74000549316406,False,False,True,1.6930023193358952,FLAT,Neutral
FMC,11.493000030517578,0.32379862793525405,11.816798658452832,11.169201402582324,11.75,False,False,True,0.17399997711181575,UP,Neutral
FOX,47.56549987792969,4.340288036345645,51.90578791427534,43.22521184158404,45.90999984741211,False,False,True,0.17999992370604972,FLAT,Neutral
FOXA,52.34399948120117,5.102432916170738,57.44643239737191,47.24156656503044,50.099998474121094,False,False,True,0.1489997863769504,FLAT,Neutral
FRT,123.44500045776367,1.9370776798615643,125.38207813762523,121.50792277790211,125.08000183105469,False,False,True,0.7590003967285086,UP,Neutral
FTV,60.88715591430664,0.6347567445875564,61.521912658894195,60.252399169719084,61.47999954223633,False,False,True,0.10100021362303646,FLAT,Neutral
GD,352.6129974365234,8.206188881180363,360.8191863177038,344.40680855534305,346.7099914550781,False,False,True,0.10600280761717451,FLAT,Neutral
GEN,23.9,0.5708279075644753,24.470827907564473,23.329172092435524,24.450000762939453,False,False,True,0.2930000305175766,UP,Neutral
GNRC,277.3470031738281,11.568957552569929,288.91596072639805,265.7780456212582,278.6199951171875,False,False,True,-1.3220031738281541,FLAT,Neutral
GWW,1335.8880004882812,23.0218039896494,1358.9098044779307,1312.8661964986318,1353.6099853515625,False,False,True,7.867993164062302,UP,Neutral
HAL,35.91999969482422,1.8604119769557563,37.78041167177997,34.05958771786847,34.209999084472656,False,False,True,-0.23600006103515805,FLAT,Neutral
HCA,386.61455993652345,6.379245790896937,392.9938057274204,380.2353141456265,391.67999267578125,False,False,True,2.9399993896483783,UP,Neutral
HII,288.0540008544922,8.994600870097507,297.0486017245897,279.0593999843947,281.989990234375,False,False,True,0.3209960937499899,FLAT,Neutral
HSY,178.2220001220703,4.211351880123894,182.4333520021942,174.01064824194643,179.11000061035156,False,False,True,1.384999084472657,UP,Neutral
HUBB,512.2420013427734,19.315053207756662,531.5570545505301,492.92694813501674,517.02001953125,False,False,True,-1.8660003662110023,FLAT,Neutral
IDXX,555.4700012207031,10.701663892072057,566.1716651127751,544.7683373286311,551.5,False,False,True,2.517004394531198,FLAT,Neutral
IFF,76.35367050170899,1.1243312247592918,77.47800172646828,75.2293392769497,76.3499984741211,False,False,True,0.11700057983397605,FLAT,Neutral
INTC,129.06300048828126,6.886227695603463,135.9492281838847,122.1767727926778,128.32000732421875,False,False,True,-2.464999389648454,DOWN,Neutral
INTU,267.6419952392578,9.658312036611953,277.3003072758698,257.98368320264586,267.7200012207031,False,False,True,1.6920043945312204,FLAT,Neutral
ISRG,406.5989990234375,6.211223281910626,412.81022230534813,400.38777574152687,404.70001220703125,False,False,True,0.0010009765624796616,FLAT,Neutral
IT,134.12200088500975,7.798375596732863,141.9203764817426,126.32362528827689,134.9600067138672,False,False,True,1.5910011291503738,FLAT,Neutral
J,123.19300003051758,2.5503383834621656,125.74333841397974,120.64266164705542,125.69000244140625,False,False,True,1.7470008850097594,UP,Neutral
JBHT,275.75599670410156,7.178533781235626,282.9345304853372,268.57746292286595,280.29998779296875,False,False,True,1.907995605468709,UP,Neutral
JPM,329.31800231933596,5.659765132573766,334.9777674519097,323.6582371867622,329.04998779296875,False,False,True,-0.38800659179691566,FLAT,Neutral
KHC,23.28099994659424,0.7281092026498324,24.009109149244072,22.552890743944406,23.700000762939453,False,False,True,0.4340000152587868,UP,Neutral
KLAC,250.81499938964845,10.548864723453358,261.3638641131018,240.2661346661951,248.63999938964844,False,False,True,-2.6730026245117324,DOWN,Neutral
KMX,51.74300003051758,1.7192895277722642,53.46228955828984,50.02371050274532,52.7599983215332,False,False,True,0.17099952697752754,FLAT,Neutral
KR,59.81199913024902,3.4847592059078267,63.29675833615685,56.32723992434119,57.72999954223633,False,False,True,0.4660003662109392,FLAT,Neutral
LDOS,108.27300033569335,6.614169048147628,114.88716938384098,101.65883128754572,101.76000213623047,False,False,True,-1.2269989013672022,FLAT,Neutral
LHX,297.70400085449216,10.246138062058412,307.9501389165506,287.45786279243373,291.25,False,False,True,0.5590026855468422,FLAT,Neutral
LIN,517.7820007324219,3.975498252641309,521.7574989850632,513.8065024797806,519.6199951171875,False,False,True,1.5839965820311983,UP,Neutral
LMT,515.1240051269531,18.01866677627225,533.1426719032253,497.1053383506808,507.3999938964844,False,False,True,2.8949951171874515,FLAT,Neutral
LOW,219.82599792480468,3.5569107411831595,223.38290866598783,216.26908718362154,222.47999572753906,False,False,True,2.4550003051757616,UP,Neutral
LRCX,382.4078033447266,14.469274554738192,396.8770778994648,367.93852878998837,379.0899963378906,False,False,True,-3.0410003662109726,FLAT,Neutral
LVS,48.291999435424806,1.2741344255658746,49.56613386099068,47.01786500985893,47.119998931884766,False,False,True,-0.28400001525879864,FLAT,Neutral
LW,44.909000396728516,0.6277019986644646,45.53670239539298,44.28129839806405,45.15999984741211,False,False,True,0.27599983215331714,UP,Neutral
MCD,277.1230010986328,8.20648161565896,285.32948271429177,268.91651948297385,269.760009765625,False,False,True,-0.7799987792968657,FLAT,Neutral
MCK,768.2319946289062,13.876697848026625,782.1086924769329,754.3552967808796,763.510009765625,False,False,True,3.7220092773437172,UP,Neutral
MCO,450.71600341796875,7.901486713017349,458.6174901309861,442.8145167049514,450.010009765625,False,False,True,0.024005126953099788,FLAT,Neutral
MDLZ,61.19200057983399,0.9895777575233557,62.181578337357344,60.20242282231063,60.790000915527344,False,False,True,0.2700004577636612,UP,Neutral
MET,86.60999908447266,1.4777236716982616,88.08772275617092,85.1322754127744,85.94999694824219,False,False,True,-0.6620002746582091,DOWN,Neutral
MLM,604.5670043945313,15.24258764285837,619.8095920373896,589.324416751673,616.0599975585938,False,False,True,3.711999511718717,FLAT,Neutral
MMM,162.09600067138672,3.230343037620343,165.32634370900706,158.86565763376638,164.00999450683594,False,False,True,0.7709991455077987,FLAT,Neutral
MOS,22.053000068664552,0.66366060383663,22.71666067250118,21.389339464827923,22.3799991607666,False,False,True,0.12399978637695042,FLAT,Neutral
MPC,250.23699798583985,5.916143858751698,256.1531418445916,244.32085412708815,254.05999755859375,False,False,True,1.858000183105421,UP,Neutral
MSFT,377.5179962158203,14.271417434767722,391.789413650588,363.24657878105256,372.9700012207031,False,False,True,-0.9850006103515837,FLAT,Neutral
MSI,400.32679138183596,7.130225544789407,407.4570169266254,393.19656583704653,402.8900146484375,False,False,True,2.8890014648437274,UP,Neutral
MU,1092.5089965820312,78.58818923930184,1171.097185821333,1013.9208073427293,1132.3299560546875,False,False,True,0.3689941406249181,FLAT,Neutral
NEM,100.90900039672852,4.979997751688095,105.8889981484166,95.92900264504043,96.12999725341797,False,False,True,-1.3830009460449284,DOWN,Neutral
NFLX,75.73199844360352,3.777846845411308,79.50984528901482,71.95415159819221,73.80999755859375,False,False,True,-0.005999755859377952,FLAT,Neutral
NOW,96.8760009765625,4.563403708644855,101.43940468520735,92.31259726791764,98.33999633789062,False,False,True,0.4239982604980368,FLAT,Neutral
NTRS,174.45499725341796,1.3460984683781663,175.80109572179612,173.1088987850398,173.8699951171875,False,False,True,-0.36699981689455946,DOWN,Neutral
NWS,28.822999954223633,0.5703419908901093,29.393341945113743,28.252657963333522,28.729999542236328,False,False,True,0.16599998474120686,UP,Neutral
NWSA,25.38300018310547,0.44266985230306377,25.825670035408532,24.940330330802407,25.40999984741211,False,False,True,0.16499996185302407,UP,Neutral
ODFL,224.9239974975586,9.839510535510009,234.7635080330686,215.08448696204857,218.7899932861328,False,False,True,0.10799713134761532,FLAT,Neutral
OKE,87.53599853515625,1.8133336443818815,89.34933217953814,85.72266489077437,89.22000122070312,False,False,True,0.7319999694824071,UP,Neutral
OMC,74.39100036621093,2.1113953179206075,76.50239568413154,72.27960504829032,73.08999633789062,False,False,True,0.15499877929687117,FLAT,Neutral
ORLY,88.46399993896485,1.8329229749462543,90.2969229139111,86.63107696401859,89.55000305175781,False,False,True,0.720001220703114,UP,Neutral
OTIS,72.57399978637696,0.9115334870091553,73.48553327338611,71.66246629936781,73.19000244140625,False,False,True,0.3299995422363267,UP,Neutral
PAYC,127.57400054931641,4.241961356821157,131.81596190613757,123.33203919249524,129.17999267578125,False,False,True,1.121999359130833,UP,Neutral
PAYX,98.4470001220703,1.8614386986230074,100.30843882069331,96.5855614234473,99.9000015258789,False,False,True,0.6670005798339793,UP,Neutral
PCAR,119.28299942016602,1.8035107737169216,121.08651019388294,117.4794886464491,120.68000030517578,False,False,True,0.6019996643066251,UP,Neutral
PDD,78.6379997253418,3.154762319634038,81.79276204497583,75.48323740570777,76.55000305175781,False,False,True,-0.6379989624023569,FLAT,Neutral
PEP,142.61900177001954,2.2308098994527548,144.8498116694723,140.38819187056677,141.38999938964844,False,False,True,-0.11700134277345,FLAT,Neutral
PFE,25.118000030517578,0.917506069254797,26.035506099772377,24.20049396126278,24.290000915527344,False,False,True,-0.2629997253418003,DOWN,Neutral
PFG,109.6150001525879,2.249717476973971,111.86471762956187,107.36528267561393,107.75,False,False,True,-1.3880004882812453,DOWN,Neutral
PG,150.16000061035157,1.5003640798106785,151.66036469016225,148.6596365305409,149.02000427246094,False,False,True,0.03200225830076522,FLAT,Neutral
PH,948.972998046875,24.741364637547047,973.714362684422,924.231633409328,968.9199829101562,False,False,True,5.5889892578125036,FLAT,Neutral
PM,178.65208282470704,3.2411068577859545,181.893189682493,175.4109759669211,180.77000427246094,False,False,True,1.9757003784179492,UP,Neutral
